Author,Title,Description,URL,Source,Image,Category,Language,Country,Published_at
David Pan,Bitcoin Retreats From 2-Year High as U.S. ETF Trading Commences,Bitcoin Retreats From 2-Year High as U.S. ETF Trading Commences,https://www.ndtvprofit.com/crypto/bitcoin-btc-volume-jumps-as-first-us-spot-etfs-begin-trading,Bloomberg | Latest And Live Business,,business,en,us,2024-01-11T17:27:07+00:00
,JPMorgan analyzes all the winners and losers in asset management industry from bitcoin ETF approval,The firm weighed on some companies would be impacted by the rule change.,https://www.cnbc.com/2024/01/11/jpmorgan-analyzes-winners-and-losers-from-asset-management-industry-on-the-bitcoin-etf-approval.html,Cnbc | World Business News Leader,,business,en,us,2024-01-11T16:29:00+00:00
Marco Quiroz-Gutierrez,Circle files for IPO in the wake of spot Bitcoin ETF approval,The company issues the $25 billion U.S. dollar-pegged USDC stablecoin.,https://fortune.com/crypto/2024/01/11/circle-ipo-spac-jeremy-allaire-stablecoins/,Fortune,https://content.fortune.com/wp-content/uploads/2024/01/GettyImages-1677430369-e1704988335233.jpg?w=2048,business,en,us,2024-01-11T16:11:01+00:00
,"Spot ETFs tied to bitcoin debut on U.S. exchanges, as crypto prices shoot up","Spot ETFs tied to bitcoin debut on U.S. exchanges, as crypto prices shoot up",https://seekingalpha.com/news/4054417-spot-etfs-tied-to-bitcoin-debut-on-us-exchanges-as-crypto-prices-shoot-up?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-11T15:52:31+00:00
,What major analysts say bitcoin ETF approval means for Coinbase shares,"Wall Street analysts are split on Coinbase&#039;s outlook, forecasting the stock may alternately rally or plunge.",https://www.cnbc.com/2024/01/11/what-major-analysts-say-bitcoin-etf-approval-means-for-coinbase-shares.html,Cnbc | World Business News Leader,,business,en,us,2024-01-11T15:13:00+00:00
,Cathie Wood continues to see $1.5M Bitcoin price as Bitcoin ETF launches,Cathie Wood continues to see $1.5M Bitcoin price as Bitcoin ETF launches,https://seekingalpha.com/news/4054361-cathie-woods-bitcoin-etf-launches-and-projects-bitcoin-to-go-as-high-as-15m-by-2030?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-11T15:07:01+00:00
Investing.com,SEC approval of Bitcoin ETFs sparks meme coin launches,SEC approval of Bitcoin ETFs sparks meme coin launches,https://www.investing.com/news/cryptocurrency-news/sec-approval-of-bitcoin-etfs-sparks-meme-coin-launches-93CH-3272576,Investing.com | Stock Market Quotes &amp; Financial News,,business,en,us,2024-01-11T14:27:45+00:00
,Cathie Wood says bitcoin ETF approval makes her $1.5 million bull case more likely,SEC approval of bitcoin ETFs makes Cathie Wood more convinced that the world&#039;s largest cryptocurrency could hit her wildly bullish target.,https://www.cnbc.com/2024/01/11/cathie-wood-says-bitcoin-etf-approval-makes-her-1point5-million-bull-case-more-likely.html,Cnbc | World Business News Leader,,business,en,us,2024-01-11T14:13:00+00:00
U.Today,"BlackRock's Bitcoin ETF IBIT Records First Millions in Volume, But There May Be a Catch","BlackRock's Bitcoin ETF IBIT Records First Millions in Volume, But There May Be a Catch",https://www.investing.com/news/cryptocurrency-news/blackrocks-bitcoin-etf-ibit-records-first-millions-in-volume-but-there-may-be-a-catch-3272508,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/news/LYNXMPEE0802O_M.jpg,business,en,us,2024-01-11T14:00:33+00:00
Emily Nicolle,Bitcoin Volume Jumps As U.S. Spot ETFs Tied To Token Begin Trading,Bitcoin Volume Jumps As U.S. Spot ETFs Tied To Token Begin Trading,https://www.ndtvprofit.com/business/bitcoin-btc-volume-jumps-as-first-us-spot-etfs-begin-trading,Bloomberg | Latest And Live Business,,business,en,us,2024-01-11T13:23:25+00:00
